ID	发言者	位置	发言内容
int	string	string	string
ID	speaker	position	content
1	Sakon	Left	佐助大人，恭候多时……
2	Sasuke	Right	这是干什么？
3	Sakon	Left	在您踏出木叶村的那一刻起，您就是我们的头儿了。
4	Sakon	Left	对于……之前的无礼，还望您见谅……
5	Sasuke	Right	哼……算了。
6	Sasuke	Right	出发吧。
7	Shikamaru	Left	关于作战计划，还有什么别的问题吗？
8	Naruto	Right	……
9	Kiba	Right	……
10	Neji	Right	……
11	Choji	Right	……
12	Shikamaru	Left	没有的话，走之前我先把最重要的话说明白。
13	Shikamaru	Left	佐助对我来说，不算是很好的朋友。
14	Shikamaru	Left	我也不是那么喜欢他。
15	Naruto	Right	?!
16	Neji	Right	……
17	Shikamaru	Left	但是，佐助也是木叶的忍者。
18	Shikamaru	Left	是我们的同伴。
19	Shikamaru	Left	所以，无论如何，我们都要把他救回来！
20	Shikamaru	Left	这就是咱们木叶的做法。
21	Shikamaru	Left	而且，就算我再怎么怕麻烦……
22	Shikamaru	Left	你们现在的命，就握在我的手中。
23	Kiba	Right	哈，稍微有些中忍的样子了啊！
24	Choji	Left	o(*￣︶￣*)o
25	Neji	Right	那么，大家确认完忍具就出发吧！
26	Sakon	Left	佐助大人，到这里应该差不多了。
27	Sakon	Left	已经离开木叶村的范围了。
28	Sasuke	Right	怎么了？
29	Sakon	Left	事实上大蛇丸大人吩咐给我们一件很重要的事。
30	Sasuke	Right	所以我在问你怎么回事。(* ￣︿￣)
31	Sakon	Left	呵呵呵呵…………
32	Tayuya	Right	呵…………
33	Jiroubou	Left	嘿嘿嘿…………
34	Kidoumaru	Right	呵呵…………
35	Sakon	Left	必须请您先死一次…………
36	Sasuke	Right	？！
37	Kiba	Left	（嗅嗅）
38	Kiba	Left	有气味正在朝我们靠近！
39	Neji	Right	是大蛇丸手下的音忍，看来这次任务会困难重重。
40	Shikamaru	Left	可以避开吗？
41	Kiba	Right	恐怕很难，应该是特意在此阻拦我们。
42	Neji	Left	算上佐助的那五个人，行动也停止了，似乎在做某些交流。
43	Shikamaru	Right	好的，停止前进，准备战斗！
